"date","SARS_CoV_2_RNA_copies_d_100000","quantification_flag","flow_m3_d","sample_origin"
"2021-08-17","7370000000000","Q",22038,"ARANi"
"2021-08-17","3610000000000","Q",21380,"ARAUs"
"2021-08-17","314000000000","D",19979,"ARAWe"
"2021-08-17","3790000000000","Q",70700,"ARAWi"
"2021-08-17","990000000000","Q",198018,"ARAZH"
"2021-08-19","695000000000","Q",8355,"ARAAf"
"2021-08-19","3640000000000","Q",9544,"ARABü"
"2021-08-19","2390000000000","Q",34825,"ARADi"
"2021-08-19","99300000000","D",20110,"ARADü"
"2021-08-19","888000000000","Q",9745,"ARAHo"
"2021-08-19","4250000000000","Q",5167,"ARAIL"
"2021-08-19","163000000000","Q",9904,"ARAMe"
"2021-08-19","1540000000000","Q",16989,"ARANi"
"2021-08-19","236000000000","Q",18690,"ARAUs"
"2021-08-19","2560000000000","Q",10764,"ARAWe"
"2021-08-19","2030000000000","Q",42200,"ARAWi"
"2021-08-19","1910000000000","Q",171644,"ARAZH"
"2021-08-22","1350000000000","Q",13529,"ARAAf"
"2021-08-22","358000000000","Q",15786,"ARABü"
"2021-08-22","4800000000000","Q",61471,"ARADi"
"2021-08-22","2690000000000","Q",39320,"ARADü"
"2021-08-22","1090000000000","Q",18089,"ARAHo"
"2021-08-22","5990000000000","Q",11500,"ARAIL"
"2021-08-22","1910000000000","Q",22059,"ARAMe"
"2021-08-22","3620000000000","Q",30908,"ARANi"
"2021-08-22","1570000000000","Q",31703,"ARAUs"
"2021-08-22","1450000000000","Q",15628,"ARAWe"
"2021-08-22","4770000000000","Q",72400,"ARAWi"
"2021-08-22","3990000000000","Q",372850,"ARAZH"
"2021-08-24","1680000000000","Q",7657,"ARAAf"
"2021-08-24","758000000000","Q",10202,"ARABü"
"2021-08-24","1550000000000","Q",33788,"ARADi"
"2021-08-24","410000000000","Q",20550,"ARADü"
"2021-08-24","379000000000","Q",10089,"ARAHo"
"2021-08-24","1280000000000","Q",5500,"ARAIL"
"2021-08-24","299000000000","Q",9428,"ARAMe"
"2021-08-24","1570000000000","Q",17486,"ARANi"
"2021-08-24","544000000000","Q",17979,"ARAUs"
"2021-08-24","235000000000","Q",10892,"ARAWe"
"2021-08-24","598000000000","Q",45400,"ARAWi"
"2021-08-24","574000000000","Q",186708,"ARAZH"
"2021-08-26","313000000000","Q",7508,"ARAAf"
"2021-08-26","901000000000","Q",10226,"ARABü"
"2021-08-26","1120000000000","Q",32240,"ARADi"
"2021-08-26","679000000000","Q",18690,"ARADü"
"2021-08-26","251000000000","Q",9122,"ARAHo"
"2021-08-26","523000000000","Q",4762,"ARAIL"
"2021-08-26","198000000000","Q",8609,"ARAMe"
"2021-08-26","1160000000000","Q",15992,"ARANi"
"2021-08-26","744000000000","Q",17064,"ARAUs"
"2021-08-26","228000000000","D",9837,"ARAWe"
"2021-08-26","608000000000","Q",40214,"ARAWi"
"2021-08-26","434000000000","Q",163983,"ARAZH"
"2021-08-29","214000000000","Q",6844,"ARAAf"
"2021-08-29","278000000000","Q",10565,"ARABü"
"2021-08-29","425000000000","Q",30247,"ARADi"
"2021-08-29","954000000000","Q",19090,"ARADü"
"2021-08-29","52300000000","D",8492,"ARAHo"
"2021-08-29","641000000000","Q",8700,"ARAIL"
"2021-08-29","525000000000","Q",8492,"ARAMe"
"2021-08-29","725000000000","Q",17568,"ARANi"
"2021-08-29","414000000000","Q",18113,"ARAUs"
"2021-08-29","505000000000","Q",14268,"ARAWe"
"2021-08-29","2010000000000","Q",71000,"ARAWi"
"2021-08-29","342000000000","Q",170373,"ARAZH"
"2021-08-31","5140000000000","Q",6881,"ARAAf"
"2021-08-31","2630000000000","Q",10508,"ARABü"
"2021-08-31","7590000000000","Q",35480,"ARADi"
"2021-08-31","3520000000000","Q",18970,"ARADü"
"2021-08-31","1320000000000","Q",7925,"ARAHo"
"2021-08-31","12000000000000","Q",5300,"ARAIL"
"2021-08-31","3120000000000","Q",9161,"ARAMe"
"2021-08-31","4370000000000","Q",22906,"ARANi"
"2021-08-31","2140000000000","Q",16383,"ARAUs"
"2021-08-31","3220000000000","Q",10601,"ARAWe"
"2021-08-31","5160000000000","Q",59000,"ARAWi"
"2021-08-31","3450000000000","Q",169328,"ARAZH"
"2021-09-02","6490000000000","Q",6734,"ARAAf"
"2021-09-02","5450000000000","Q",9223,"ARABü"
"2021-09-02","6800000000000","Q",31926,"ARADi"
"2021-09-02","2920000000000","Q",17990,"ARADü"
"2021-09-02","1950000000000","Q",7537,"ARAHo"
"2021-09-02","9390000000000","Q",4710,"ARAIL"
"2021-09-02","4740000000000","Q",7912,"ARAMe"
"2021-09-02","9070000000000","Q",15333,"ARANi"
"2021-09-02","3230000000000","Q",15192,"ARAUs"
"2021-09-02","4640000000000","Q",9488,"ARAWe"
"2021-09-02","6040000000000","Q",42800,"ARAWi"
"2021-09-02","5380000000000","Q",160279,"ARAZH"
"2021-09-05","4040000000000","Q",6712,"ARAAf"
"2021-09-05","2180000000000","Q",9029,"ARABü"
"2021-09-05","7080000000000","Q",29908,"ARADi"
"2021-09-05","8370000000000","Q",15770,"ARADü"
"2021-09-05","855000000000","Q",7118,"ARAHo"
"2021-09-05","21100000000000","Q",4705,"ARAIL"
"2021-09-05","4710000000000","Q",7154,"ARAMe"
"2021-09-05","8840000000000","Q",14900,"ARANi"
"2021-09-05","7420000000000","Q",14774,"ARAUs"
"2021-09-05","2880000000000","Q",8446,"ARAWe"
"2021-09-05","18200000000000","Q",38347,"ARAWi"
"2021-09-05","9550000000000","Q",143375,"ARAZH"
"2021-09-07","5030000000000","Q",6254,"ARAAf"
"2021-09-07","2240000000000","Q",9125,"ARABü"
"2021-09-07","3100000000000","Q",29803,"ARADi"
"2021-09-07","3080000000000","Q",17170,"ARADü"
"2021-09-07","878000000000","Q",7098,"ARAHo"
"2021-09-07","3660000000000","Q",4350,"ARAIL"
"2021-09-07","3390000000000","Q",7107,"ARAMe"
"2021-09-07","4090000000000","Q",14704,"ARANi"
"2021-09-07","5350000000000","Q",15122,"ARAUs"
"2021-09-07","4150000000000","Q",8300,"ARAWe"
"2021-09-07","2550000000000","Q",38600,"ARAWi"
"2021-09-07","2460000000000","Q",152200,"ARAZH"
"2021-09-09","3980000000000","Q",6140,"ARAAf"
"2021-09-09","1780000000000","Q",8813,"ARABü"
"2021-09-09","3400000000000","Q",29790,"ARADi"
"2021-09-09","2110000000000","Q",16860,"ARADü"
"2021-09-09","925000000000","Q",6989,"ARAHo"
"2021-09-09","1880000000000","Q",4250,"ARAIL"
"2021-09-09","1940000000000","Q",8288,"ARAMe"
"2021-09-09","6540000000000","Q",14207,"ARANi"
"2021-09-09","6240000000000","Q",14647,"ARAUs"
"2021-09-09","2960000000000","Q",7873,"ARAWe"
"2021-09-09","3850000000000","Q",38600,"ARAWi"
"2021-09-09","3520000000000","Q",150100,"ARAZH"
